 ----------------------header-------------------------- 2018-08-08 10:14:48,796 [1] INFO  loginfo - 文件接收工具启动
2018-08-08 10:15:08,397 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,447 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,507 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,557 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,617 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,677 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,737 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,787 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,847 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,897 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,957 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,017 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,077 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,127 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,187 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,237 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,297 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,357 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,407 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,467 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,517 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,577 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,637 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,687 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,747 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,797 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,857 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,917 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:09,967 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,027 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,077 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,137 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,197 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,247 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,307 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,367 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,427 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,477 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,537 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,601 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,657 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,712 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,768 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:10,828 [8] INFO  loginfo - 收到数据文件
